id,name,course_ids
M1,Penelope Clark,TI1;TI7;EB7
M2,Olivia Vasquez,TI1;TI7;EB7
M3,Marcus Anderson,TI1;TI7;EB7
M4,Grace Davis,TI1;TI7;EB7
M5,Will Ingram,TI1;TI7;EB7
M6,Isaac Long,TI1;TI7;EB7
M7,Thomas Brown,TI1;TI7;EB7
M8,Zane Vaughn,TI1;TI7;EB7
M9,Kyle King2,TI1;TI7;EB7
M10,George OConnor,TI1;TI7;EB7
M11,Robert Iverson,TI1;TI7;EB7
M12,Mason Quigley,TI1;TI7;EB7
M13,Henry Spencer,TI1;TI7;EB7
M14,David Logan,TI1;TI7;EB7
M15,Sam Chandler,TI1;TI7;EB7
M16,Emily Fisher,TI1;TI7;EB7
M17,Ryan Lewis,TI1;TI7
M18,Brian Faulkner,TI1;TI7
M19,Thomas King2,TI1;TI7
M20,Quincy Norris,TI1;TI7
M21,Kevin Ziegler,TI1;TI7
M22,Yvonne Walker,TI1;TI7
M23,Dorothy Parker,TI1;TI7
M24,Walter Scott,TI1;TI7
M25,Diana Irwin,TI1;TI7
M26,Marcus Yates,TI1;TI7
M27,Linda Hall,TI1;TI7
M28,Victoria Doyle,TI1;TI7
M29,Zane Dixon,TI1;TI7
M30,Grace Adler,TI1;TI7
M31,Jennifer Anderson,TI1;TI7
M32,Natalie  Jenkins,TI1;TI7
M33,Yvonne Dixon,TI1;TI7
M34,Zachary Vega,TI1;TI7
M35,Harry Yates,TI1;TI7
M36,Bob Quinn,TI1;TI7
M37,Bryan Reyes,TI1;TI7
M38,Grace Foster,TI1;TI7
M39,Quinn Ellis,TI1;TI7
M40,Sarah Doyle,TI1;TI7
M41,Ulysses Knox,TI1;TI7
M42,Noah Nelson,TI1;TI7
M43,Rita Turner,TI1;TI7
M44,Gregory Baker,TI1;TI7
M45,Sophia Norris,TI1;TI7
M46,Felix Knox,TI1;TI7
M47,Rachel Evans,TI1;TI7
M48,Adam Evans,TI1;TI7
M49,Bob Scott,TI2;TI8
M50,Zane Owens,TI2;TI8
M51,Frank Kelly,TI2;TI8
M52,Felix Vaughn,TI2;TI8
M53,Brandon Carter,TI2;TI8
M54,Alice Brown,TI2;TI8
M55,Uma Lee,TI2;TI8
M56,Quentin Xu,TI2;TI8
